# C1[F/m] Ceq[F/m]
7.02021e-11 1.25032e-11
9.27931e-11 1.27772e-11
5.27636e-11 1.21567e-11
4.34645e-11 1.18796e-11
3.53725e-11 1.1546e-11
5.14449e-11 1.21225e-11
8.00992e-11 1.26401e-11
9.37529e-11 1.27862e-11
2.1105e-11 1.05351e-11
7.49676e-11 1.25731e-11
4.98139e-11 1.20781e-11
4.90535e-11 1.20566e-11
3.61857e-11 1.15848e-11
1.08284e-11 8.94887e-12
1.62394e-11 9.93893e-12
1.57964e-11 9.87349e-12
3.10005e-11 1.1311e-11
3.16259e-11 1.13477e-11
6.90519e-11 1.2485e-11
4.25874e-11 1.18484e-11
1.88871e-11 1.02882e-11
6.59062e-11 1.24326e-11
3.32268e-12 6.244e-12
6.1892e-11 1.2359e-11
3.99542e-11 1.17482e-11
3.93185e-11 1.17224e-11
5.036e-11 1.20933e-11
5.6152e-11 1.22383e-11
5.64073e-11 1.22441e-11
1.382e-11 9.55185e-12
7.83659e-11 1.26183e-11
1.37968e-11 9.54775e-12
9.03454e-11 1.27534e-11
2.18924e-11 1.06145e-11
2.97652e-11 1.12352e-11
3.93732e-11 1.17246e-11
1.99739e-11 1.04138e-11
6.96223e-11 1.24941e-11
9.65213e-11 1.28112e-11
6.07149e-11 1.23359e-11
7.98173e-11 1.26366e-11
6.49816e-11 1.24163e-11
8.23268e-11 1.26669e-11
1.34294e-11 9.48186e-12
8.66483e-11 1.27153e-11
9.29473e-11 1.27786e-11
3.89881e-12 6.55514e-12
8.2497e-11 1.26689e-11
5.68102e-11 1.22532e-11
7.57941e-11 1.25844e-11
2.09724e-11 1.05213e-11
4.99408e-11 1.20817e-11
9.08916e-12 8.51143e-12
7.46808e-11 1.25691e-11
1.78425e-11 1.01584e-11
2.80619e-11 1.11227e-11
4.96881e-11 1.20746e-11
3.75309e-11 1.16461e-11
6.97252e-11 1.24957e-11
4.37538e-11 1.18897e-11
1.27468e-11 9.35378e-12
1.55418e-11 9.83484e-12
7.10734e-11 1.25166e-11
8.0919e-11 1.26501e-11
8.81165e-11 1.27308e-11
6.93418e-11 1.24896e-11
7.90628e-11 1.26272e-11
9.33543e-11 1.27825e-11
9.97748e-11 1.2839e-11
9.82325e-11 1.28261e-11
9.10549e-11 1.27604e-11
5.66777e-12 7.36747e-12
9.82502e-11 1.28262e-11
3.67396e-11 1.16105e-11
6.05031e-11 1.23316e-11
5.48478e-11 1.22079e-11
4.73663e-11 1.20068e-11
5.8797e-11 1.22964e-11
1.39459e-11 9.57391e-12
8.82624e-11 1.27323e-11
6.19476e-11 1.23601e-11
9.32485e-12 8.57532e-12
7.81211e-11 1.26152e-11
7.35288e-11 1.25528e-11
7.70744e-11 1.26016e-11
3.15832e-11 1.13452e-11
5.27321e-11 1.21559e-11
6.17939e-11 1.23571e-11
7.32536e-11 1.25489e-11
8.55998e-11 1.2704e-11
8.56442e-11 1.27045e-11
9.68535e-12 8.67008e-12
1.532e-11 9.80055e-12
7.25817e-11 1.25391e-11
5.74826e-11 1.22681e-11
6.91874e-11 1.24872e-11
6.73045e-11 1.24564e-11
3.18497e-11 1.13605e-11
3.6461e-11 1.15977e-11
1.80624e-11 1.01865e-11
5.19644e-11 1.21362e-11
6.41655e-11 1.24017e-11
9.78542e-11 1.28228e-11
7.82771e-11 1.26172e-11
2.05076e-11 1.04721e-11
2.75309e-11 1.10855e-11
4.45619e-11 1.19172e-11
2.05815e-11 1.04801e-11
7.85348e-11 1.26205e-11
4.24175e-11 1.18422e-11
7.33059e-11 1.25496e-11
4.37693e-11 1.18902e-11
8.99881e-12 8.48651e-12
7.55702e-11 1.25814e-11
7.88576e-11 1.26246e-11
4.34158e-11 1.18779e-11
2.95457e-11 1.12213e-11
3.34126e-11 1.14465e-11
9.05351e-11 1.27553e-11
5.7226e-11 1.22625e-11
5.88702e-11 1.2298e-11
9.27504e-11 1.27768e-11
1.66783e-11 1.00016e-11
3.39874e-11 1.14766e-11
2.03226e-11 1.04521e-11
3.20891e-11 1.13741e-11
8.71732e-11 1.27209e-11
3.01827e-11 1.12614e-11
1.00308e-10 1.28435e-11
